date,country,state,region,deaths,newCases,totalCases
07/03/2020,Brazil,DF,Central,0,1,1
08/03/2020,Brazil,DF,Central,0,0,1
09/03/2020,Brazil,DF,Central,0,0,1
10/03/2020,Brazil,DF,Central,0,1,2
11/03/2020,Brazil,DF,Central,0,0,2
12/03/2020,Brazil,DF,Central,0,1,3
13/03/2020,Brazil,DF,Central,0,0,3
14/03/2020,Brazil,DF,Central,0,5,8
15/03/2020,Brazil,DF,Central,0,6,14
16/03/2020,Brazil,DF,Central,0,5,19
17/03/2020,Brazil,DF,Central,0,7,26
18/03/2020,Brazil,DF,Central,0,10,36
19/03/2020,Brazil,DF,Central,0,48,84
20/03/2020,Brazil,DF,Central,0,24,108
21/03/2020,Brazil,DF,Central,0,4,112
22/03/2020,Brazil,DF,Central,0,22,134
23/03/2020,Brazil,DF,Central,0,12,146
24/03/2020,Brazil,DF,Central,0,31,177
25/03/2020,Brazil,DF,Central,0,18,195
26/03/2020,Brazil,DF,Central,0,8,203
27/03/2020,Brazil,DF,Central,0,39,242
28/03/2020,Brazil,DF,Central,0,18,260
29/03/2020,Brazil,DF,Central,1,38,298
30/03/2020,Brazil,DF,Central,1,14,312
31/03/2020,Brazil,DF,Central,3,21,333
01/04/2020,Brazil,DF,Central,3,22,355
02/04/2020,Brazil,DF,Central,4,45,400
03/04/2020,Brazil,DF,Central,5,25,425
04/04/2020,Brazil,DF,Central,7,31,456
12/03/2020,Brazil,GO,Central,0,3,3
13/03/2020,Brazil,GO,Central,0,0,3
14/03/2020,Brazil,GO,Central,0,1,4
15/03/2020,Brazil,GO,Central,0,0,4
16/03/2020,Brazil,GO,Central,0,5,9
17/03/2020,Brazil,GO,Central,0,1,10
18/03/2020,Brazil,GO,Central,0,2,12
19/03/2020,Brazil,GO,Central,0,3,15
20/03/2020,Brazil,GO,Central,0,3,18
21/03/2020,Brazil,GO,Central,0,2,20
22/03/2020,Brazil,GO,Central,0,1,21
23/03/2020,Brazil,GO,Central,0,2,23
24/03/2020,Brazil,GO,Central,0,6,29
25/03/2020,Brazil,GO,Central,0,6,35
26/03/2020,Brazil,GO,Central,1,4,39
27/03/2020,Brazil,GO,Central,1,10,49
28/03/2020,Brazil,GO,Central,1,7,56
29/03/2020,Brazil,GO,Central,1,2,58
30/03/2020,Brazil,GO,Central,1,3,61
31/03/2020,Brazil,GO,Central,1,4,65
01/04/2020,Brazil,GO,Central,1,8,73
02/04/2020,Brazil,GO,Central,1,0,73
03/04/2020,Brazil,GO,Central,2,15,88
04/04/2020,Brazil,GO,Central,2,15,103
14/03/2020,Brazil,MS,Central,0,2,2
15/03/2020,Brazil,MS,Central,0,0,2
16/03/2020,Brazil,MS,Central,0,2,4
17/03/2020,Brazil,MS,Central,0,2,6
18/03/2020,Brazil,MS,Central,0,1,7
19/03/2020,Brazil,MS,Central,0,2,9
20/03/2020,Brazil,MS,Central,0,3,12
21/03/2020,Brazil,MS,Central,0,4,16
22/03/2020,Brazil,MS,Central,0,5,21
23/03/2020,Brazil,MS,Central,0,0,21
24/03/2020,Brazil,MS,Central,0,3,24
