date;country;state;region;deaths;newCases;totalCases
07/03/2020;Brazil;DF;Central;0;1;1
08/03/2020;Brazil;DF;Central;0;0;1
09/03/2020;Brazil;DF;Central;0;0;1
10/03/2020;Brazil;DF;Central;0;0;1
11/03/2020;Brazil;DF;Central;0;1;2
12/03/2020;Brazil;DF;Central;0;0;2
13/03/2020;Brazil;DF;Central;0;0;2
14/03/2020;Brazil;DF;Central;0;6;8
15/03/2020;Brazil;DF;Central;0;6;14
16/03/2020;Brazil;DF;Central;0;5;19
17/03/2020;Brazil;DF;Central;0;3;22
18/03/2020;Brazil;DF;Central;0;12;34
19/03/2020;Brazil;DF;Central;0;8;42
20/03/2020;Brazil;DF;Central;0;45;87
21/03/2020;Brazil;DF;Central;0;21;108
22/03/2020;Brazil;DF;Central;0;9;117
23/03/2020;Brazil;DF;Central;0;21;138
24/03/2020;Brazil;DF;Central;0;23;161
25/03/2020;Brazil;DF;Central;0;30;191
26/03/2020;Brazil;DF;Central;0;10;201
27/03/2020;Brazil;DF;Central;0;40;241
28/03/2020;Brazil;DF;Central;0;19;260
29/03/2020;Brazil;DF;Central;1;38;298
30/03/2020;Brazil;DF;Central;2;14;312
31/03/2020;Brazil;DF;Central;3;21;333
01/04/2020;Brazil;DF;Central;4;37;370
02/04/2020;Brazil;DF;Central;5;30;400
03/04/2020;Brazil;DF;Central;6;19;419
04/04/2020;Brazil;DF;Central;7;37;456
05/04/2020;Brazil;DF;Central;7;12;468
06/04/2020;Brazil;DF;Central;10;17;485
07/04/2020;Brazil;DF;Central;12;18;503
08/04/2020;Brazil;DF;Central;12;6;509
09/04/2020;Brazil;DF;Central;13;18;527
10/04/2020;Brazil;DF;Central;14;29;556
11/04/2020;Brazil;DF;Central;14;36;592
12/04/2020;Brazil;DF;Central;14;22;614
12/03/2020;Brazil;GO;Central;0;3;3
13/03/2020;Brazil;GO;Central;0;0;3
14/03/2020;Brazil;GO;Central;0;1;4
15/03/2020;Brazil;GO;Central;0;0;4
16/03/2020;Brazil;GO;Central;0;5;9
17/03/2020;Brazil;GO;Central;0;1;10
18/03/2020;Brazil;GO;Central;0;2;12
19/03/2020;Brazil;GO;Central;0;3;15
20/03/2020;Brazil;GO;Central;0;3;18
21/03/2020;Brazil;GO;Central;0;2;20
22/03/2020;Brazil;GO;Central;0;1;21
23/03/2020;Brazil;GO;Central;0;2;23
24/03/2020;Brazil;GO;Central;0;6;29
25/03/2020;Brazil;GO;Central;0;6;35
26/03/2020;Brazil;GO;Central;1;4;39
27/03/2020;Brazil;GO;Central;1;10;49
28/03/2020;Brazil;GO;Central;1;7;56
29/03/2020;Brazil;GO;Central;1;2;58
30/03/2020;Brazil;GO;Central;1;3;61
31/03/2020;Brazil;GO;Central;1;4;65
01/04/2020;Brazil;GO;Central;1;8;73
02/04/2020;Brazil;GO;Central;1;0;73
03/04/2020;Brazil;GO;Central;2;15;88
04/04/2020;Brazil;GO;Central;2;15;103
05/04/2020;Brazil;GO;Central;3;12;115
06/04/2020;Brazil;GO;Central;5;4;119
07/04/2020;Brazil;GO;Central;5;14;133
